Rozpočet	Položka	Náklady
Centrála	Provozní výdaje administrativního odboru	34000.0
Centrála	Provozní výdaje finančního odboru	10700.0
Centrála	Provozní výdaje mediálního odboru	188512.0
Centrála	Provozní výdaje personálního odboru	399094.0
Centrála	Provozní výdaje předsednictva	30000.0
Centrála	Provozní výdaje zahraničního odboru	12180.0
Centrála	Výdaje na právní záležitosti	720.0
Centrála	Výdaje transformace	45178.0
Jihočeský kraj	Mzdové náklady vedoucí MO	2525.0
Kraj Vysočina	Personální výdaje	22300.0
Praha	Koordinace dobrovolníků	44580.0
Praha	Odměny zastupitelů hl. m. Prahy za Piráty	17724.0
Praha	Podpora senátora L. Michálka	8040.0
Praha	Stínoví zastupitelé	16700.0
