,Projekt,Uživatel,Aktivita,Úkol,Hodiny,Refundace,Datum
99,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Jednání,Úkol #10507: Zasedání zastupitelstva 26. 4. 2018,5.0,,2018-04-26
144,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Příprava dokumentu,Úkol #8752: Tetra,3.0,,2018-04-25
195,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Jednání,Dlouhodobý úkol #310: Pirátské úterky,4.0,,2018-04-24
196,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Jednání,Dlouhodobý úkol #310: Pirátské úterky,4.0,,2018-04-24
263,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Příprava dokumentu,Podání #10588: Interpelace radní Plamínkové ohledně vodního lyžování na Praze 22,1.0,,2018-04-23
264,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Příprava dokumentu,Podání #10588: Interpelace radní Plamínkové ohledně vodního lyžování na Praze 22,1.0,,2018-04-23
265,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Schůzky,Podání #10588: Interpelace radní Plamínkové ohledně vodního lyžování na Praze 22,1.0,,2018-04-23
307,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Studium podkladů,Dlouhodobý úkol #184: Rada hl. m. Prahy (RHMP),1.0,,2018-04-22
451,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,E-mail,Naše žádost #10516: Žádost o informace – seniorské jízdné,0.5,,2018-04-18
455,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Studium podkladů,Úkol #8752: Tetra,1.0,,2018-04-18
456,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Jednání,"Dlouhodobý úkol #716: Výbor pro legislativu, veřejnou správu, protikorupční opatření a informatiku",2.0,,2018-04-18
495,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Studium podkladů,Dlouhodobý úkol #184: Rada hl. m. Prahy (RHMP),2.0,,2018-04-17
556,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Studium podkladů,"Dlouhodobý úkol #716: Výbor pro legislativu, veřejnou správu, protikorupční opatření a informatiku",1.0,,2018-04-16
557,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Studium podkladů,Dlouhodobý úkol #184: Rada hl. m. Prahy (RHMP),1.0,,2018-04-16
617,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Studium podkladů,Úkol #8752: Tetra,2.0,,2018-04-14
675,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Studium podkladů,Úkol #8752: Tetra,0.5,,2018-04-12
743,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Administrativa,Podání #10390: Test githubu,0.5,,2018-04-11
1041,zastupitelstvo hl. m. Prahy,Ondřej Kallasch,Studium podkladů,"Podání #10059: R-28725 k návrhu na rozhodnutí zadavatele o výběru dodavatele na veřejnou zakázku ""Rámcová dohoda na dodávky kamer a výstavbu kamerových stanovišť Městského kamerového systému hlavního města Prahy"".",2.0,,2018-04-02
